Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5
Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5
Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5
Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0
Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25
Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26.0
Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7
Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65
Mini Cooper Convertible S,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.67
Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.64
Honda City i-VTEC V,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3.87
Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.65
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.6
Mercedes-Benz GLE 350d,Coimbatore,2017,29819,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,61.29
Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,Diesel,Manual,First,22.95,1248.0,74.0,5.0,3.75
Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,5.25
Honda Jazz VX,Delhi,2015,62178,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.85
Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,20.25
Honda City i-VTEC CVT ZX,Mumbai,2017,15000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,12.69
Mercedes-Benz GLE 250d,Hyderabad,2017,29000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,57.0
Honda Brio 1.2 VX MT,Kochi,2012,91931,Petrol,Manual,First,18.5,1198.0,86.8,5.0,3.13
Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,62.67
Maruti Vitara Brezza LDi,Chennai,2016,45000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.15
BMW 3 Series Luxury Line,Kochi,2015,30717,Diesel,Automatic,Second,21.76,1995.0,190.0,5.0,25.99
Skoda Octavia RS,Jaipur,2005,100000,Petrol,Automatic,First,14.45,1984.0,227.0,5.0,2.05
Maruti Alto K10 VXI,Pune,2017,30000,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.75
Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,Diesel,Automatic,First,19.33,1999.0,177.0,5.0,52.0
Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,27.3
Mini Clubman Cooper S,Pune,2017,8350,Petrol,Manual,First,13.8,1998.0,192.0,5.0,35.0
Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.49
Honda BRV i-VTEC V CVT,Kochi,2017,35676,Petrol,Automatic,First,16.0,1497.0,117.3,7.0,9.48
Jaguar XE Portfolio,Mumbai,2017,9000,Petrol,Automatic,First,13.5,1999.0,246.74,5.0,34.5
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,Diesel,Automatic,First,13.5,2477.0,175.56,7.0,28.0
BMW 3 Series Luxury Line,Mumbai,2015,41000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,25.5
Honda BR-V i-VTEC S MT,Pune,2017,9000,Petrol,Manual,First,15.4,1497.0,117.3,7.0,8.5
Hyundai i20 Active SX Petrol,Jaipur,2017,40250,Petrol,Manual,First,17.19,1197.0,81.86,5.0,6.9
Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,Petrol,Automatic,First,11.5,2996.0,367.0,5.0,70.99
Audi A6 35 TFSI Matrix,Mumbai,2016,47000,Petrol,Automatic,First,15.26,1798.0,187.74,5.0,24.5
Mini Cooper Convertible S,Mumbai,2014,11900,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,28.5
Mahindra Bolero ZLX,Coimbatore,2016,82756,Diesel,Manual,First,15.96,2523.0,62.1,7.0,7.7
Volkswagen Vento 1.6 Comfortline,Mumbai,2017,15000,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,7.1
Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,Diesel,Manual,First,25.1,1248.0,88.5,5.0,8.92
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,Diesel,Automatic,First,15.17,1968.0,181.0,5.0,20.37
BMW 3 Series Luxury Line,Bangalore,2016,19235,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,36.5
Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,Petrol,Automatic,First,12.6,1950.0,191.34,5.0,51.43
Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,Diesel,Automatic,First,11.0,2987.0,258.0,7.0,56.0
Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.5,998.0,67.04,5.0,3.3
Hyundai Creta 1.6 SX,Chennai,2016,69434,Petrol,Manual,First,15.8,1591.0,121.3,5.0,8.0
Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,Petrol,Automatic,First,0.0,1950.0,181.43,5.0,38.99
BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.68,1995.0,190.0,5.0,29.4
Maruti Ertiga ZDI,Pune,2013,105000,Diesel,Manual,Second,25.47,1248.0,88.5,7.0,6.75
Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.13,1498.0,108.4,5.0,10.5
Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,17.0
Jeep Compass 2.0 Limited,Jaipur,2018,29000,Diesel,Manual,First,17.1,1956.0,170.0,5.0,19.0
Mahindra Bolero ZLX,Jaipur,2012,105000,Diesel,Manual,Second,15.96,2523.0,62.1,7.0,6.0
Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.14,1498.0,88.0,5.0,8.12
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,24.82
Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,48.5
Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,9.45
Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,17.5
Maruti Vitara Brezza ZDi,Pune,2016,21558,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.9
Mini Cooper 5 DOOR D,Mumbai,2016,11000,Diesel,Automatic,First,20.7,1496.0,113.98,5.0,29.5
Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,Diesel,Manual,First,14.1,2179.0,154.0,7.0,11.25
Honda BR-V i-DTEC VX MT,Kochi,2017,32249,Diesel,Manual,First,21.9,1498.0,98.6,7.0,10.79
Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,Petrol,Manual,First,20.89,1197.0,81.8,5.0,5.7
Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.75
Honda BRV i-VTEC V CVT,Mumbai,2017,18000,Petrol,Automatic,First,16.0,1497.0,117.3,7.0,9.25
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.31
Nissan Sunny XV CVT,Kochi,2013,37199,Petrol,Automatic,First,17.5,1498.0,99.6,5.0,5.43
Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.75
Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,8.5
Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0,1186.0,73.97,5.0,4.9
Honda City i-VTEC V,Delhi,2014,55818,Petrol,Manual,Second,17.4,1497.0,117.3,5.0,5.7
Maruti Ertiga VDI,Ahmedabad,2017,63939,Diesel,Manual,First,25.47,1248.0,88.5,7.0,7.75
Maruti Celerio VXI AMT,Delhi,2014,35214,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,3.2
Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Diesel,Automatic,Second,20.7,1496.0,113.98,5.0,23.5
Honda City i-VTEC CVT VX,Bangalore,2015,18955,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,10.65
Honda Jazz VX,Kochi,2018,20024,Petrol,Manual,First,18.2,1199.0,88.7,5.0,8.46
Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.5,1498.0,99.0,5.0,2.5
Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591.0,121.3,5.0,10.9
Maruti Wagon R VXI,Coimbatore,2015,72599,Petrol,Manual,First,22.5,998.0,67.04,5.0,4.32
Mahindra XUV500 W9 AT,Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,17.63
Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,56.0
Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,8.5
Maruti Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.3
Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498.0,108.62,5.0,6.45
Mahindra Xylo H4,Chennai,2016,215000,Diesel,Manual,First,14.02,2179.0,118.3,7.0,7.5
Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.6
Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,Diesel,Manual,First,25.4,1186.0,73.97,5.0,5.9
Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.92
Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,Manual,First,21.7,999.0,67.0,5.0,3.25
Maruti Celerio VXI Optional AMT,Pune,2017,7500,Petrol,Automatic,First,23.1,998.0,67.04,5.0,5.0
Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22.0,1197.0,81.8,5.0,2.7
Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.7,799.0,53.64,5.0,2.66
Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,Petrol,Manual,First,15.1,1196.0,73.0,7.0,3.61
Honda City i-VTEC CVT VX,Mumbai,2015,30000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,8.65
Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956.0,170.0,5.0,20.0
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,Diesel,Automatic,First,15.68,1999.0,177.0,5.0,59.72
Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,6.5
Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,12.49
Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.39
Honda Jazz VX Diesel,Mumbai,2016,38000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,6.21
Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,39.5
BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,17.5
Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,25.17,799.0,53.3,5.0,4.45
Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,Diesel,Manual,First,23.0,1498.0,98.96,5.0,11.65
Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,Diesel,Manual,First,13.68,2393.0,147.8,7.0,16.5
Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,Diesel,Manual,First,20.64,1498.0,108.5,5.0,5.39
Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,Diesel,Manual,First,14.24,2755.0,174.5,7.0,13.28
Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,Petrol,Automatic,First,16.0,1368.0,160.0,5.0,17.75
Audi A4 35 TDI Technology,Hyderabad,2015,45000,Diesel,Automatic,First,18.25,1968.0,187.74,5.0,25.0
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,Petrol,Automatic,First,14.8,1497.0,121.36,5.0,12.41
Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,Diesel,Manual,First,25.1,1248.0,88.5,5.0,7.94
Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,20.5
Maruti Ertiga VDI,Pune,2016,130000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,7.0
Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,Diesel,Manual,First,24.3,1248.0,88.5,5.0,10.49
Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,3.95
Maruti Vitara Brezza VDi,Kolkata,2017,35000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,6.5
Mahindra XUV300 W8 Diesel,Chennai,2012,97000,Diesel,Manual,First,20.0,1497.0,115.0,5.0,7.25
Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,Diesel,Manual,First,22.0,1582.0,126.2,5.0,6.01
Tata Hexa XT,Delhi,2017,55000,Diesel,Manual,First,17.6,2179.0,153.86,7.0,12.0
Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,Petrol,Manual,First,23.84,1199.0,84.0,5.0,5.88
Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,Petrol,Automatic,First,12.6,1950.0,191.34,5.0,51.35
Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,Diesel,Automatic,First,20.7,1496.0,113.98,5.0,22.0
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.0
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.75
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,11.44
Mahindra Bolero ZLX,Mumbai,2016,40448,Diesel,Manual,First,15.96,2523.0,62.1,7.0,3.5
Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,Diesel,Manual,First,24.3,1248.0,88.5,5.0,10.46
Honda Amaze S Petrol,Kochi,2016,51672,Petrol,Manual,First,19.5,1199.0,88.76,5.0,5.68
Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.98
Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,Petrol,Manual,First,18.9,1197.0,81.86,5.0,4.77
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,7.2
Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,Diesel,Automatic,First,22.0,1582.0,126.2,5.0,5.9
Volvo S60 D4 Momentum,Hyderabad,2015,51000,Diesel,Automatic,First,27.03,1969.0,190.0,5.0,25.0
BMW 3 Series 320d Luxury Line,Chennai,2012,65000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,14.0
Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,Diesel,Manual,First,13.68,2393.0,147.8,7.0,20.4
Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,Petrol,Manual,First,18.78,999.0,75.0,5.0,5.68
Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,12.75
Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,18.0
Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52000,Diesel,Manual,First,21.43,1364.0,86.79,5.0,6.5
Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,Diesel,Automatic,First,13.6,1999.0,177.0,5.0,40.0
Mahindra Xylo D4,Chennai,2016,85000,Diesel,Manual,First,14.95,2489.0,93.7,7.0,6.15
Maruti Swift VDI,Kochi,2017,34613,Diesel,Manual,First,28.4,1248.0,74.0,5.0,6.24
Hyundai Xcent 1.2 VTVT S,Bangalore,2014,54000,Petrol,Manual,First,20.14,1197.0,81.86,5.0,5.5
Honda City i-VTEC CVT VX,Kochi,2018,22974,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,11.97
Toyota Fortuner 2.8 2WD MT,Ahmedabad,2015,65012,Diesel,Manual,First,14.24,2755.0,174.5,7.0,18.9
Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,Petrol,Manual,First,15.1,1196.0,73.0,7.0,2.95
Maruti Swift LDI,Mumbai,2015,14000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.25
BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,24.68
BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,Diesel,Automatic,First,17.05,1995.0,190.0,5.0,29.5
Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Diesel,Manual,Second,24.0,1396.0,88.76,5.0,1.9
Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.5,1248.0,75.0,5.0,2.5
BMW 3 Series 320d Luxury Line,Kochi,2013,37613,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,13.95
Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,Petrol,Manual,First,20.89,1197.0,81.8,5.0,6.06
Maruti Wagon R CNG LXI,Pune,2013,79494,CNG,Manual,First,33.54,998.0,67.04,5.0,2.96
Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,67.0
Maruti Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.6
Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,7.55
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.17
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.5
Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,11.5
Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,6.2
Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,15.49
Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.0
Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,Diesel,Manual,First,13.68,2393.0,147.8,7.0,19.92
Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,Petrol,Manual,First,17.0,1497.0,121.36,5.0,9.2
Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.5
Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.28,1798.0,138.03,5.0,4.5
Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,16.35
Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,Diesel,Automatic,First,17.6,1582.0,126.2,5.0,12.5
Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,Diesel,Manual,First,21.66,1498.0,108.62,5.0,5.8
Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,Petrol,Manual,First,17.57,1193.0,88.7,5.0,5.0
Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,17.49
Land Rover Range Rover Sport SE,Kochi,2019,26013,Diesel,Automatic,First,12.65,2993.0,255.0,5.0,97.07
Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,Diesel,Automatic,First,28.4,1248.0,73.75,5.0,9.15
Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,Diesel,Manual,First,23.0,1498.0,98.96,5.0,7.7
Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,Diesel,Manual,First,20.65,1248.0,88.7,5.0,6.69
Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,Diesel,Automatic,First,21.72,1498.0,108.4,5.0,10.5
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,Diesel,Manual,First,13.68,2393.0,147.8,8.0,22.55
Mahindra Thar CRDe,Jaipur,2016,19000,Diesel,Manual,First,16.55,2498.0,105.0,6.0,9.25
Ford Aspire Titanium Diesel,Coimbatore,2017,30279,Diesel,Manual,First,26.1,1498.0,99.0,5.0,7.29
Mini Cooper 3 DOOR D,Mumbai,2016,20000,Diesel,Automatic,First,20.7,1496.0,113.98,4.0,23.5
Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Diesel,Manual,Second,21.03,1461.0,65.0,5.0,3.1
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,Petrol,Manual,First,17.0,1198.0,73.75,5.0,7.23
Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,Diesel,Automatic,First,12.81,1999.0,148.31,7.0,41.5
Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,Diesel,Automatic,First,17.06,1968.0,141.0,5.0,24.9
Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,72.94
Mahindra Bolero ZLX,Jaipur,2013,63000,Diesel,Manual,First,15.96,2523.0,62.1,7.0,5.5
BMW X1 M Sport sDrive 20d,Kochi,2017,32838,Diesel,Automatic,First,17.05,1995.0,190.0,5.0,30.29
Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,Diesel,Automatic,First,13.6,1999.0,177.0,5.0,38.0
